Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
30/10/2019,EQ,3372.9,3389.95,3357.55,3372.95,3357.8,3362.65,3364.56,3500,2682,224,753661.6,67
29/10/2019,EQ,3416.5,3416.5,3353,3418.5,3372.9,3372.95,3367.37,3500,2682,475,1599499.85,131
27/10/2019,EQ,3452.7,3500,3363,3412.15,3411,3418.5,3438.44,3500,2682,649,2231546.85,184
25/10/2019,EQ,3356.55,3420.05,3356.55,3350.9,3410,3412.15,3395.39,3500,2682,2143,7276319.9,479
24/10/2019,EQ,3360,3384.85,3350.6,3370.05,3359.9,3350.9,3363.07,3500,2682,461,1550376.7,54
23/10/2019,EQ,3342.25,3374.95,3342.15,3341.85,3370,3370.05,3363.65,3500,2682,177,595365.35,48
22/10/2019,EQ,3357,3369.35,3330,3357.75,3341,3341.85,3345.34,3500,2682,500,1672671.85,100
18/10/2019,EQ,3387,3387,3355.05,3360.6,3355.05,3357.75,3364.36,3500,2682,154,518111.2,46
17/10/2019,EQ,3360,3373.35,3350.6,3356.65,3363.75,3360.6,3362.75,3500,2682,348,1170237.05,68
16/10/2019,EQ,3379,3379,3352.05,3379.75,3352.05,3356.65,3365,3500,2682,334,1123910.65,58
15/10/2019,EQ,3392.4,3415,3363.1,3378,3379,3379.75,3383.98,3500,2682,374,1265607.4,102
14/10/2019,EQ,3331,3439,3312,3355.5,3439,3378,3343.94,3500,2682,193,645379.85,70
11/10/2019,EQ,3375,3387.95,3320,3374.95,3362.95,3355.5,3357.11,3500,2682,343,1151487.15,63
10/10/2019,EQ,3372,3390.95,3354.05,3371.5,3374.95,3374.95,3371.28,3500,2682,226,761908.75,74
09/10/2019,EQ,3448,3448,3348.3,3374.95,3348.3,3371.5,3372.55,3500,2682,734,2475448.3,119
07/10/2019,EQ,3358.5,3384,3340,3340,3377,3374.95,3363.31,3500,2682,280,941726.7,108
04/10/2019,EQ,3342,3359.5,3326,3363.65,3340,3340,3340.13,3500,2669.2,249,831692.3,64
03/10/2019,EQ,3335.2,3375,3310.25,3269.85,3370,3363.65,3347.18,3500,2669.2,579,1938018,94
01/10/2019,EQ,3280,3425,3240,3292.35,3249.5,3269.85,3296.06,3500,2669.2,1357,4472746.65,217
30/09/2019,EQ,3320,3320,3282.7,3298.95,3292.1,3292.35,3291.71,3500,2669.2,285,938137.3,46
27/09/2019,EQ,3324,3324,3290,3306.9,3290,3298.95,3305.81,3500,2669.2,167,552070.65,41
26/09/2019,EQ,3339,3340,3280,3340.5,3340,3306.9,3290.41,3500,2669.2,297,977252.75,82
25/09/2019,EQ,3332.9,3348.95,3325.15,3311.9,3348.95,3340.5,3337.4,3500,2669.2,342,1141392,52
24/09/2019,EQ,3313.75,3316.55,3295.05,3296.35,3316.55,3311.9,3309.45,3500,2669.2,379,1254283,48
23/09/2019,EQ,3285.5,3310,3271,3280.75,3296,3296.35,3296.86,3500,2669.2,206,679152.85,43
20/09/2019,EQ,3285,3295,3270.3,3277.05,3277,3280.75,3284.53,3500,2669.2,477,1566718.95,107
19/09/2019,EQ,3295.05,3297.95,3260,3302.55,3282,3277.05,3279.81,3500,2669.2,451,1479194.3,146
18/09/2019,EQ,3316.45,3329,3291.4,3316.45,3303.5,3302.55,3303.09,3500,2669.2,313,1033865.75,75
17/09/2019,EQ,3334,3334,3311,3312.2,3317,3316.45,3319.99,3500,2669.2,193,640758.15,75
16/09/2019,EQ,3310,3364,3301.05,3309.7,3310,3312.2,3321.86,3500,2669.2,631,2096093.95,87
13/09/2019,EQ,3292.5,3322.3,3280.25,3295.8,3310,3309.7,3309.09,3500,2669.2,1248,4129748.35,91
12/09/2019,EQ,3306,3340,3280,3317.85,3295.1,3295.8,3293.43,3500,2669.2,1073,3533853.65,135
